# hoGAMEGATA Full Verified Horror Tags (15825 tags)
# Format: Tag Name | Slug
# Source: https://gamegata.xyz

0-bit | 0-bit
0-player | 0-player
000 | 000
000virus | 000virus
001 | 001
001-game-creator | 001-game-creator
001gamecreator | 001gamecreator
010101010010 | 010101010010
0451 | 0451
049 | 049
07 | 07
087 | 087
096 | 096
0d | 0d
0hgame | 0hgame
0hourgamejam | 0hourgamejam
0mbrunnergames | 0mbrunnergames
0x3 | 0x3
1-b | 1-b
1-bit | 1-bit
1-bit-game | 1-bit-game
1-bit-jam | 1-bit-jam
1-bitjam | 1-bitjam
1-hour-game | 1-hour-game
1-on-1 | 1-on-1
1-player | 1-player
1-player-game | 1-player-game
1-vs-all | 1-vs-all
10 | 10
10-minutes | 10-minutes
10-player-lobeys | 10-player-lobeys
10-year-old-games | 10-year-old-games
10-years | 10-years
100 | 100
100-doors | 100-doors
100-gecs | 100-gecs
1000notebooks | 1000notebooks
100nofake | 100nofake
103advchal | 103advchal
1080p | 1080p
108advchal | 108advchal
10mg | 10mg
10min | 10min
10minutes | 10minutes
10plus | 10plus
10secondgame | 10secondgame
11 | 11
11836 | 11836
11837 | 11837
12126 | 12126
12171 | 12171
122 | 122
12234 | 12234
128k | 128k
12hours | 12hours
12naz | 12naz
13 | 13
13-cards | 13-cards
13-or-above-recommended | 13-or-above-recommended
13-year-olds-or-over-recommended | 13-year-olds-or-over-recommended
14 | 14
1488 | 1488
15-years-of-age | 15-years-of-age
1500notebooks | 1500notebooks
16-and-above | 16-and-above
16-bit | 16-bit
16-ya-aras | 16-ya-aras
16bits | 16bits
16x16 | 16x16
1700 | 1700
18 | 18
1800 | 1800
1800s | 1800s
1893 | 1893
18bits | 18bits
1920s | 1920s
1920s-setting | 1920s-setting
1930s | 1930s
1940s | 1940s
1950s | 1950s
1959 | 1959
1960s | 1960s
1970 | 1970
1970s | 1970s
1973 | 1973
1980 | 1980
1980s | 1980s
198145 | 198145
1982 | 1982
1983 | 1983
1984 | 1984
1986s | 1986s
1987 | 1987
1988 | 1988
1990 | 1990
1990s | 1990s
1995 | 1995
1996 | 1996
1998 | 1998
1998exe | 1998exe
1999 | 1999
19th-century | 19th-century
1GAM | 1gam
1bit | 1bit
1d | 1d
1daychallenge | 1daychallenge
1e | 1e
1gaw | 1gaw
1h-game-jam | 1h-game-jam
1hgj | 1hgj
1hour | 1hour
1hourgames | 1hourgames
1k | 1k
1st-game | 1st-game
1st-per | 1st-per
1st-person | 1st-person
1stperson | 1stperson
1v1 | 1v1
1week | 1week
2 | 2
2-5d | 2-5d
2-bit | 2-bit
2-buttons | 2-buttons
2-d | 2-d
2-hours | 2-hours
2-players | 2-players
2000 | 2000
2000notebooks | 2000notebooks
2000s | 2000s
2001-a-space-odyssey | 2001-a-space-odyssey
2002 | 2002
2009 | 2009
2010 | 2010
2011 | 2011
2013 | 2013
2014 | 2014
2015 | 2015
2017 | 2017
2018 | 2018
2019 | 2019
2020 | 2020
2021 | 2021
2022 | 2022
2022-epic-megajam | 2022-epic-megajam
20221 | 20221
2023 | 2023
2024 | 2024
2025 | 2025
2026 | 2026
2048 | 2048
20_games_challenge | 20_games_challenge
20min | 20min
20seconds | 20seconds
21 | 21
228 | 228
23august | 23august
24-hour-challenge | 24-hour-challenge
24hourchallange | 24hourchallange
24hours | 24hours
25 | 25
25-d | 25-d
2500notebooks | 2500notebooks
25d | 25d
25d-game | 25d-game
2600 | 2600
28men | 28men
294 | 294
2D | 2d
2bit | 2bit
2color | 2color
2d--3d | 2d-3d
2d-adventure | 2d-adventure
2d-and-3d | 2d-and-3d
2d-cutscenes | 2d-cutscenes
2d-fish-eating-simulator | 2d-fish-eating-simulator
2d-game | 2d-game
2d-horror | 2d-horror
2d-horror-game | 2d-horror-game
2d-pixel | 2d-pixel
2d-platformer | 2d-platformer
2d-plattaformer | 2d-plattaformer
2d-poppy | 2d-poppy
2d-resident-evil | 2d-resident-evil
2d-rpg | 2d-rpg
2d-top-down | 2d-top-down
2d3d | 2d3d
2darray | 2darray
2dhd | 2dhd
2dhorrorgame | 2dhorrorgame
2din3d | 2din3d
2dterror | 2dterror
2fort | 2fort
2j | 2j
2k3 | 2k3
2minjam | 2minjam
2nd-person | 2nd-person
2p | 2p
2phetalia | 2phetalia
2player | 2player
2players | 2players
2point5d | 2point5d
2ptalia | 2ptalia
3 | 3
3-dimensional | 3-dimensional
3-minute | 3-minute
30-day-challenge | 30-day-challenge
30-minutes | 30-minutes
30-person-limit | 30-person-limit
3000notebooks | 3000notebooks
301 | 301
307 | 307
307t | 307t
307th | 307th
307th-battalion | 307th-battalion
307th-battalions | 307th-battalions
307th-battlions | 307th-battlions
30yearslater | 30yearslater
32-bit | 32-bit
32bit | 32bit
32bitjam | 32bitjam
32x32 | 32x32
3301 | 3301
360 | 360
360vr | 360vr
3D | 3d
3D Platformer | 3d-platformer
3am | 3am
3amchallenge | 3amchallenge
3cjam | 3cjam
3d-adventure | 3d-adventure
3d-arena | 3d-arena
3d-art | 3d-art
3d-audio | 3d-audio
3d-bitsy | 3d-bitsy
3d-enviroment | 3d-enviroment
3d-fps | 3d-fps
3d-game | 3d-game
3d-game-studio | 3d-game-studio
3d-games | 3d-games
3d-glasses | 3d-glasses
3d-godot | 3d-godot
3d-horror | 3d-horror
3d-horror-game | 3d-horror-game
3d-ish | 3d-ish
3d-like | 3d-like
3d-model | 3d-model
3d-pixel | 3d-pixel
3d-pixel-art | 3d-pixel-art
3d-realistic-art | 3d-realistic-art
3d-shooter | 3d-shooter
3d-sound | 3d-sound
3d-world | 3d-world
3dand2d | 3dand2d
3dbitsy | 3dbitsy
3dgame | 3dgame
3dgs | 3dgs
3dmodel | 3dmodel
3do | 3do
3drunner | 3drunner
3ds | 3ds
3dscan | 3dscan
3gnomesgamejam | 3gnomesgamejam
3rd-game | 3rd-game
3rd-person | 3rd-person
3scarygames | 3scarygames
3to1-games | 3to1-games
3to1games | 3to1games
4 | 4
4-bit | 4-bit
4-day-game-jam | 4-day-game-jam
4-days | 4-days
4-player | 4-player
404 | 404
40k | 40k
432 | 432
433 | 433
46 | 46
480x360 | 480x360
48hour-build | 48hour-build
48k | 48k
48wordrpgjam | 48wordrpgjam
4X | four-x
4d | 4d
4fun-jam | 4fun-jam
4hoursdev | 4hoursdev
4k | 4k
4th-wall | 4th-wall
4th-wall-break | 4th-wall-break
4th-wall-broken | 4th-wall-broken
4thwallbreaks | 4thwallbreaks
4v1 | 4v1
4vs1 | 4vs1
4x4 | 4x4
5 | 5
5-days | 5-days
5-keys | 5-keys
5-min | 5-min
5-minute | 5-minute
5-minutes | 5-minutes
5-nights | 5-nights
5-nights-at | 5-nights-at
5-nights-at-freddys | 5-nights-at-freddys
5-student | 5-student
50 | 50
5000notebooks | 5000notebooks
50s | 50s
555 | 555
5965 | 5965
5d | 5d
5e | 5e
5e-compatible | 5e-compatible
5ft | 5ft
5hifted | 5hifted
5hifted-remake | 5hifted-remake
5min | 5min
5mins | 5mins
5minutes | 5minutes
5opka | 5opka
5v1 | 5v1
6 | 6
60-seconds | 60-seconds
64-bits | 64-bits
640x360 | 640x360
64bit | 64bit
64x | 64x
64x64 | 64x64
666 | 666
67 | 67
69 | 69
69420d | 69420d
6am | 6am
6d | 6d
6d6rpg | 6d6rpg
7 | 7
7-errors | 7-errors
7-grand-dad | 7-grand-dad
70s | 70s
770 | 770
777 | 777
7d | 7d
7days | 7days
7dfps | 7dfps
7th | 7th
7th-guest | 7th-guest
7zip | 7zip
8-Bit | 8-bit
8-bit-graphics | 8-bit-graphics
