# hoGAMEGATA Full Registered Games Catalog (107809 games)
# Format: Title | Developer | URL
# Source: https://gamegata.xyz

 ceilings | Ion Storm | https://gamegata.xyz/game/ 4096 colors
! silent | pewnie | https://gamegata.xyz/game/itch-pewnie-silent
!!BIRTHDAY!! | Globin | https://gamegata.xyz/game/itch-globin-birthday
!ERRORi | MIN | https://gamegata.xyz/game/itch-errori
!ERRORi | Min | https://gamegata.xyz/game/itch-min-errori
!amyourf3iend | DATA | https://gamegata.xyz/game/itch-amyourf3iend
!gunbrawl | squp | https://gamegata.xyz/game/itch-gunbrawl
"                                                                                                                  " | dragonfrog studio | https://gamegata.xyz/game/itch-game-256615545ff108ec
"16847972.zip (1)" | AsdfNil45 | https://gamegata.xyz/game/itch-16847972zip-1
"A Brief Moment" By IM (Extinct) | Extinct | https://gamegata.xyz/game/itch-a-brief-moment-by-im-extinct
"A Jar of Cranberry Sauce" or "The Crime in Room 13" | Kevin Hutchins | https://gamegata.xyz/game/itch-a-jar-of-cranberry-sauce-or-the-crime-in-room-13
"AQUAPANIC" | Independent Creator | https://gamegata.xyz/game/itch-aquapanic
"AQUILO" | nmozart | https://gamegata.xyz/game/itch-aquilo
"AQUILO" English Version | nmozart | https://gamegata.xyz/game/itch-aquilo-english-version
"Adventure" | wynygames | https://gamegata.xyz/game/itch-adventure
"Bendy And The Children Of The Machine (PowerPoint Game)" | AnuShisGamer | https://gamegata.xyz/game/itch-bendy-and-the-children-of-the-machine-powerpoint-game
"Between Shadows and Memories: Asahi's Journey" | augusto97 | https://gamegata.xyz/game/itch-between-shadows-and-memories-asahis-journey
"BioCrisis: The Last Escape" | BRAINJULIUS | https://gamegata.xyz/game/itch-biocrisis-the-last-escape
"Caerulim's treasure" | Independent Creator | https://gamegata.xyz/game/itch-caerulims-treasure
"Delve" | Wintereactive | https://gamegata.xyz/game/itch-delve
"Different Dreams": Foreplay 0.1 | Kali20666 | https://gamegata.xyz/game/itch-different-dreams-foreplay-01
"FOR-SENG" POV TRACKLIST ROOM | Seng666 | https://gamegata.xyz/game/itch-for-seng-pov-tracklist-room
"Follow the light and you'll survive" | Puriku | https://gamegata.xyz/game/itch-follow-the-light-and-youll-survive
"Fun" | Your_Buddy_Jay | https://gamegata.xyz/game/itch-fun
"Garten of Banban" Demake | SevenWave7 | https://gamegata.xyz/game/itch-garten-of-banban-demake
"Happy Chunks" | Bobby Rosehag | https://gamegata.xyz/game/itch-happy-chunks
"Haunted House" spooky adventures | Ymik0_0 | https://gamegata.xyz/game/itch-haunted-house-spooky-adventures
"Hello, Dako!" | Bin to Hell games | https://gamegata.xyz/game/itch-hello-dako
"Hide  & Seek" | dRlv | https://gamegata.xyz/game/itch-drlv-hide-seek
"Home" A FNaF Fan-Game (DEMO) | EthanWasHere | https://gamegata.xyz/game/itch-home-a-fnaf-fan-game-demo
"Home" Alpha Pack | Neptune Entertainment | https://gamegata.xyz/game/itch-home-alpha-pack
"INTERVIEW" with mr 'MOU' | mr NB | https://gamegata.xyz/game/itch-interview-with-mr-mou
"L'amphore de Yonaguni" | Garagarape | https://gamegata.xyz/game/itch-lamphore-de-yonaguni
"LIFE" not found; | BerCh1n | https://gamegata.xyz/game/itch-life-not-found
"LOOK!" | Arcade B | https://gamegata.xyz/game/itch-arcade-b-look
"La Obscura" | Duke_of_Null | https://gamegata.xyz/game/itch-la-obscura
"Let * me *save you" | Wurne_Sharnuude | https://gamegata.xyz/game/itch-let-me-save-you
"Lost in the Forest of Candy" | NiyelM | https://gamegata.xyz/game/itch-lost-in-the-forest-of-candy
"Lost space station 426" before storm (prototype) | WaltherVonCrade | https://gamegata.xyz/game/itch-lost-space-station-426-before-storm-prototype
"Meme"bumps | aditya278 | https://gamegata.xyz/game/itch-memebumps
"Mountain King" | grubwall | https://gamegata.xyz/game/itch-mountain-king
"My Little Castle" | 0mvarr | https://gamegata.xyz/game/itch-my-little-castle
"Nightmare" FatPapi Version | TheFattestPapi | https://gamegata.xyz/game/itch-nightmare-fatpapi-version
"Oblivion" | Flower Child | https://gamegata.xyz/game/itch-flower-child-oblivion
"Omori" "Mod" Made to Appeal to "Omori" "Fans" | Unknown | https://gamegata.xyz/game/omori-mod-made-to-appeal-to-omori-fans--1
"Orville's Orchard" | Pedro Leote | https://gamegata.xyz/game/itch-orvilles-orchard
"Paranoia Retake" by Kane Sucks CHARTED | Bipus2 | https://gamegata.xyz/game/itch-paranoia-retake-by-kane-sucks-charted
"S.A.N.D" | Dan91 | https://gamegata.xyz/game/itch-sand
"SISO" | OneGoose | https://gamegata.xyz/game/itch-siso
"Simple" RussianRoulette (Guess) game | SexoYoda | https://gamegata.xyz/game/itch-simple-russianroulette-guess-game
"So, About Last Night..." | Elissa Black | https://gamegata.xyz/game/so-about-last-night-dot-dot-dot
"Speciesismulator" a Google Cardboard Prototype | CharlieGS96 | https://gamegata.xyz/game/itch-speciesismulator-a-google-cardboard-prototype
"Sprunki" Flash Game | circll18 | https://gamegata.xyz/game/itch-sprunki-flash-game
